Technique,Cujo,,,Zozzle,,,JaSt,,,JStap (NGrams),,,JStap (Values),,
,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall
"Async, T3-FunctionName","95.17% (24,092/25,315)","0.92 (3,324/3,608)","0.78 (3,324/4,263)","81.15% (20,543/25,315)",0.00 (0/96),0.00 (0/345),"81.51% (20,634/25,315)",0.00 (0/4),NaN (0/0),"73.44% (18,592/25,315)",0.00 (0/1),NaN (0/0),"73.31% (18,558/25,315)",0.00 (0/1),NaN (0/0)
"Async, T4-CallExpression(a)","90.09% (23,506/26,092)","0.91 (2,738/3,022)","0.64 (2,738/4,299)","92.37% (24,100/26,092)","0.97 (3,557/3,653)","0.65 (3,557/5,453)","85.80% (22,387/26,092)","1.00 (1,753/1,757)","0.32 (1,753/5,453)","78.00% (20,353/26,092)","1.00 (1,761/1,762)","0.34 (1,761/5,179)","85.45% (22,295/26,092)","1.00 (3,737/3,738)","0.77 (3,737/4,834)"
"ASync, T5-IfStatement","91.84% (23,963/26,092)","0.92 (3,195/3,479)","0.74 (3,195/4,303)","92.35% (24,096/26,092)","0.97 (3,553/3,649)","0.65 (3,553/5,453)","94.65% (24,696/26,092)","1.00 (4,062/4,066)","0.74 (4,062/5,453)","82.98% (21,651/26,092)","1.00 (3,059/3,060)","0.59 (3,059/5,206)","86.18% (22,487/26,092)","1.00 (3,929/3,930)","0.81 (3,929/4,861)"
"Async, T6-ForStatement","93.01% (24,268/26,092)","0.92 (3,500/3,784)","0.81 (3,500/4,308)","92.51% (24,138/26,092)","0.97 (3,595/3,691)","0.66 (3,595/5,453)","95.19% (24,838/26,092)","1.00 (4,204/4,208)","0.77 (4,204/5,453)","82.42% (21,506/26,092)","1.00 (2,914/2,915)","0.56 (2,914/5,213)","86.42% (22,549/26,092)","1.00 (3,991/3,992)","0.82 (3,991/4,868)"
"Async, T7-WhileStatement","92.89% (24,238/26,092)","0.92 (3,470/3,754)","0.80 (3,470/4,312)","92.53% (24,143/26,092)","0.97 (3,600/3,696)","0.66 (3,600/5,453)","95.44% (24,902/26,092)","1.00 (4,268/4,272)","0.78 (4,268/5,453)","85.41% (22,286/26,092)","1.00 (3,694/3,695)","0.71 (3,694/5,214)","86.45% (22,557/26,092)","1.00 (3,999/4,000)","0.82 (3,999/4,869)"
Combined,,,,,,,,,,,,,,,
All sync (using T4(a)),"81.20% (21,184/26,089)",0.59 (416/700),"0.18 (416/2,255)","91.97% (23,993/26,089)","0.97 (3,450/3,546)","0.63 (3,450/5,450)","83.32% (21,738/26,089)","1.00 (1,104/1,108)","0.22 (1,104/5,105)","71.27% (18,593/26,089)",0.50 (1/2),"0.00 (1/4,235)","74.07% (19,324/26,089)",1.00 (766/767),"0.18 (766/4,235)"
All sync (using T4(b)),"81.20% (21,183/26,089)",0.59 (415/699),"0.19 (415/2,205)","91.88% (23,971/26,089)","0.97 (3,428/3,524)","0.63 (3,428/5,450)","82.66% (21,565/26,089)",1.00 (931/935),"0.18 (931/5,105)","71.26% (18,592/26,089)",0.00 (0/1),"0.00 (0/4,243)","72.47% (18,908/26,089)",1.00 (350/351),"0.08 (350/4,243)"
All async,"84.47% (22,258/26,349)","0.84 (1,490/1,774)","0.28 (1,490/5,297)","91.34% (24,067/26,349)","0.97 (3,524/3,620)","0.65 (3,524/5,453)","82.43% (21,719/26,349)","1.00 (1,085/1,089)","0.20 (1,085/5,453)","70.58% (18,596/26,349)",0.80 (4/5),"0.00 (4/4,612)","74.07% (19,517/26,349)",1.00 (959/960),"0.22 (959/4,267)"
Combinations,,,,,,,,,,,,,,,
