Technique,Zozzle,,,Cujo,,,JaSt,,,JStap (NGrams),,,JStap (Values),,
,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall,Accuracy,Precision,Recall
Baseline (no transformation),"90.41% (24,141/26,701)","0.97 (3,598/3,694)","0.66 (3,598/5,453)","98.56% (26,316/26,701)","0.95 (5,548/5,832)","0.98 (5,548/5,649)","96.29% (25,710/26,701)","1.00 (5,076/5,080)","0.99 (5,076/5,108)","86.42% (23,075/26,701)","1.00 (4,483/4,484)","0.99 (4,483/4,524)","86.13% (22,997/26,701)","1.00 (4,439/4,440)","0.98 (4,439/4,524)"
javascript-obfuscator,"93.32% (24,350/26,092)","0.98 (3,807/3,903)","0.70 (3,807/5,453)","96.48% (25,174/26,092)","0.94 (4,406/4,690)","1.00 (4,406/4,415)","95.00% (24,787/26,092)","1.00 (4,153/4,157)","0.81 (4,153/5,108)","78.94% (20,597/26,092)","1.00 (2,005/2,006)","0.43 (2,005/4,717)","82.42% (21,505/26,092)","1.00 (2,947/2,948)","0.62 (2,947/4,717)"
Gnirts,"90.41% (24,141/26,701)","0.97 (3,598/3,694)","0.66 (3,598/5,453)","98.56% (26,316/26,701)","0.95 (5,548/5,832)","0.98 (5,548/5,649)","96.29% (25,710/26,701)","1.00 (5,076/5,080)","0.99 (5,076/5,108)","86.42% (23,075/26,701)","1.00 (4,483/4,484)","0.99 (4,483/4,524)","86.13% (22,997/26,701)","1.00 (4,439/4,440)","0.98 (4,439/4,524)"
jfogs,"92.47% (24,127/26,092)","0.97 (3,584/3,680)","0.66 (3,584/5,453)","93.07% (24,283/26,092)","0.93 (3,515/3,799)","0.77 (3,515/4,562)","79.18% (20,660/26,092)",0.87 (26/30),"0.00 (26/5,453)","71.32% (18,608/26,092)",0.94 (16/17),"0.00 (16/5,025)","81.96% (21,384/26,092)","1.00 (2,826/2,827)","0.56 (2,826/5,025)"
JSObfu,"95.97% (25,010/26,060)","0.98 (4,467/4,563)","0.84 (4,467/5,324)","98.86% (25,762/26,060)","0.95 (4,994/5,278)","1.00 (4,994/5,008)","84.77% (22,090/26,060)","1.00 (1,456/1,460)","0.29 (1,456/4,979)","71.42% (18,612/26,060)",0.95 (20/21),"0.01 (20/3,667)","80.50% (20,978/26,060)","1.00 (2,420/2,421)","0.66 (2,420/3,667)"
